Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
the notebook house layout,1,1,90,17,0.00,https://www.groundworks.com/resources/the-notebook-movie-house-floor-plan-and-renovations/,11,0.01,0.00,0,24300000,"[42,7,7,19,34,26,53,100,34,19,19,15]",2026-01-31,"Image pack, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
foundation repair in my area,5,5,480,32,22.52,https://www.groundworks.com/,11,0.01,247.00,0.11,296000000,"[11,11,21,14,72,48,26,88,72,32,88,100]",2026-03-02,"Local pack, Video, Image, Related searches",commercial,Organic
soil stabilization pflugerville,3,3,260,3,0.00,https://www.groundworks.com/service-areas/concrete-lifting-pflugerville-tx/,11,0.01,0.00,0,10700,"[0,2,19,36,15,12,19,44,36,66,81,100]",2026-02-06,"Knowledge panel, Video, People also ask, Related searches, AI overview",informational,Organic
ground workers near me,1,1,170,,10.54,https://www.groundworks.com/locations/,11,0.01,115.00,0.82,1150000000,"[53,65,34,80,80,100,65,53,65,53,42,42]",2026-01-31,"Local pack, Video, People also ask, Related searches",transactional,Organic
lally definition,1,1,170,27,0.00,https://www.groundworks.com/resources/what-is-a-lally-column/,11,0.01,0.00,0,970000,"[2,2,2,1,2,7,1,2,1,84,1,2]",2026-01-22,"Video, Featured snippet, People also ask, Related searches",informational,People also ask
mckinney foundation repair,5,5,480,30,40.20,https://www.groundworks.com/service-areas/foundation-repair-mckinney-tx/,11,0.01,442.00,0.77,844000,"[0,37,1,4,4,1,3,100,84,13,16,20]",2026-01-28,"Local pack, Image, People also ask, Related searches",commercial,Organic
groundworks reviews,6,6,1300,,4.28,https://www.groundworks.com/why-choose-us/reviews/,11,0.01,47.00,0.21,1700000,"[16,31,31,52,68,68,68,68,100,100,100,84]",2026-01-28,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",commercial,Organic
foundation work near me,6,6,590,33,19.06,https://www.groundworks.com/,11,0.01,209.00,0.33,1660000000,"[32,32,32,48,48,48,59,100,72,59,88,72]",2026-01-29,"Local pack, Video, People also ask, Related searches",transactional,Organic
foundation water damage,2,2,390,7,12.56,https://www.groundworks.com/resources/how-long-before-water-will-damage-foundation/,11,0.01,138.00,0.09,446000000,"[23,23,29,44,29,36,36,81,100,66,54,66]",2026-01-22,"Sitelinks, Video, People also ask, Related searches, Things to know, AI overview",informational,Organic
are cracks in a foundation normal,2,21,140,3,3.09,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,11,0.01,33.00,0.28,155,"[28,34,15,28,100,53,53,21,34,53,53,53]",2026-03-08,"Sitelinks, Video, Image, Video Carousel, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
crawl space drying and encapsulation companies southern california,2,2,140,6,0.00,https://www.groundworks.com/service-areas/crawl-space-encapsulation-san-gabriel-ca/,11,0.01,0.00,0,118000,[100],2026-01-15,"Local pack, Ads bottom, Related searches, AI overview",commercial,Organic
fsm traverse city,2,2,90,10,9.52,https://www.groundworks.com/locations/foundation-systems-of-michigan/traverse-city-branch/,11,0.01,104.00,0.46,123000,"[100,100,63,63,63,63,63,45,81,100,63,45]",2026-03-04,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches","informational, transactional",Organic
crawlspace foundations,1,1,90,17,7.15,https://www.groundworks.com/glossary/crawl-space/,11,0.01,78.00,0.18,12800000,"[36,66,1,0,9,1,4,19,2,1,9,2]",2026-02-28,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
pool deck repair services,4,4,590,14,0.00,https://www.groundworks.com/solutions/concrete-lifting/pool-deck-repair/,11,0.01,0.00,0,27100000,"[0,26,39,39,59,72,88,88,100,48,39]",2026-01-12,"Local pack, Sitelinks, Video, People also ask, Related searches","commercial, informational",Organic
what are joists,4,4,590,25,1.52,https://www.groundworks.com/glossary/floor-joists/,11,0.01,16.00,0.01,5870000,"[13,8,31,84,25,16,25,31,37,20,52,31]",2026-01-13,"Sitelinks, Video, Featured snippet, Image, Video Carousel, People also ask, Related searches",informational,Organic
average snowfall for buffalo ny,1,1,320,30,0.00,https://www.groundworks.com/resources/top-10-snowiest-cities-in-the-us-how-heavy-snowfall-can-impact-your-home/,11,0.01,0.00,0,1360000,"[20,13,13,4,4,8,11,7,16,13,11,16]",2026-02-11,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,AI overview
foundation inspectors near me,2,2,480,9,21.02,https://www.groundworks.com/resources/foundation-inspection/,11,0.01,231.00,0.5,12700000,"[79,79,10,8,8,13,16,13,13,8,10,2]",2026-01-26,"Local pack, Video, People also ask, Related searches, AI overview",transactional,Organic
foundation evaluation,1,1,90,11,17.16,https://www.groundworks.com/resources/foundation-inspection-benefits/,11,0.01,188.00,0.52,568000000,"[29,29,100,41,64,29,29,82,100,64,29,52]",2026-02-01,"Video, People also ask, Related searches, AI overview",informational,Organic
wettest city in united states,8,8,880,26,0.16,https://www.groundworks.com/resources/worst-us-cities-for-rainfall/,11,0.01,1.00,0.01,3060000,"[44,5,3,82,100,82,0,0,0,0,65,5]",2026-02-05,"Sitelinks, Video, People also ask, Related searches","commercial, informational",Organic
largest dams in the us,3,3,480,29,0.09,https://www.groundworks.com/resources/biggest-dam-projects-in-us/,11,0.01,0.00,0.03,30700000,"[24,16,13,13,30,100,16,13,20,16,45,45]",2026-01-09,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
normal foundation cracks,3,4,170,3,2.96,https://www.groundworks.com/resources/are-foundation-cracks-normal/,11,0.01,32.00,0.22,152,"[13,7,13,8,4,10,10,7,8,2,3,4]",2026-03-08,"Image pack, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
foundation repair company near me,5,5,1300,34,21.32,https://www.groundworks.com/solutions/foundation-repair/,11,0.01,234.00,0.43,325000000,"[37,25,31,84,46,52,52,100,100,84,46,68]",2026-02-22,"Local pack, Video, People also ask, Related searches",transactional,Organic
rainiest city in the u.s.,2,2,320,46,0.43,https://www.groundworks.com/resources/worst-us-cities-for-rainfall/,11,0.01,4.00,0.02,1760000,"[16,46,8,68,68,0,0,0,0,0,0,0]",2026-01-14,"Image pack, Sitelinks, Video, Featured snippet, Image, People also ask, Related searches",informational,Organic
professional slab foundation repair services,2,2,390,42,0.00,https://www.groundworks.com/solutions/foundation-repair/,11,0.01,0.00,0,6530000,"[29,44,54,54,44,44,67,100,44,5]",2026-01-07,"Local pack, Sitelinks, People also ask, Related searches, AI overview","commercial, informational",Organic
what is class a fire rating,4,4,260,11,0.35,https://www.groundworks.com/glossary/class-a-fire-rating/,11,0.01,3.00,0.02,438000000,"[65,81,81,65,65,81,81,81,65,65,81,100]",2026-02-21,"Sitelinks, Video, Related searches, AI overview",informational,Organic
foundation permit,1,1,90,17,0.00,https://www.groundworks.com/resources/does-foundation-repair-require-a-permit/,11,0.01,0.00,0,226000000,"[7,7,7,7,42,42,42,42,7,42,80,100]",2026-02-08,"Video Carousel, People also ask, Related searches, AI overview","informational, transactional",Organic
professional crawl space mold removal services,3,3,480,10,0.00,https://www.groundworks.com/resources/removing-crawl-space-mold/,11,0.01,0.00,0,1990000,"[14,17,48,48,7,72,100,100,59,2]",2026-01-11,"Local pack, Sitelinks, Video, Ads bottom, People also ask, Related searches, AI overview",commercial,Organic
household pests,1,1,320,43,4.00,https://www.groundworks.com/resources/whats-the-worst-home-destroying-pest-in-each-state/,11,0.01,44.00,0.43,45400000,"[23,19,36,81,36,36,44,54,44,54,81,44]",2026-02-10,"Video, People also ask, Related searches, Things to know, AI overview","commercial, informational",AI overview
slab jacking near me,6,6,1600,26,10.26,https://www.groundworks.com/solutions/concrete-lifting/,11,0.01,112.00,0.17,21700000,"[8,10,5,13,13,13,13,35,66,35,35,100]",2026-02-07,"Local pack, Sitelinks, Video, People also ask, Related searches",transactional,Organic
what type of soil holds the most water,1,1,90,19,0.00,https://www.groundworks.com/resources/understanding-soil-and-water-across-the-u-s/,11,0.01,0.00,0,82900000,"[65,7,7,53,42,42,7,7,7,42,65,34]",2026-02-27,"Sitelinks, Video, Image, People also ask, Related searches, Questions and answers, AI overview",informational,Organic
crawl space repair colorado springs,1,1,140,2,0.00,https://www.groundworks.com/locations/groundworks-colorado-springs/groundworks-colorado-springs-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-cos,11,0.01,0.00,0.29,764000,"[65,43,34,43,43,34,34,43,65,43,34,21]",2026-01-17,"Local pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",commercial,Local pack
where does it rain the most in the us,4,4,1300,38,0.00,https://www.groundworks.com/resources/worst-us-cities-for-rainfall/,11,0.01,0.00,0,956000000,"[24,34,34,44,55,65,55,55,34,44,44,30]",2026-02-27,"Image pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
foundation underpinning contractor,1,1,140,0,10.22,https://www.groundworks.com/locations/groundworks-colorado-springs/groundworks-colorado-springs-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-cos,11,0.01,112.00,0.06,650000,"[10,17,28,28,43,35,82,100,43,0,2]",2026-03-01,"Local pack, Video, Video Carousel, People also ask, Related searches",commercial,Local pack
foundation cracks to be concerned about,3,3,170,1,1.59,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,11,0.01,17.00,0.16,86300000,"[36,54,23,19,15,23,15,19,12,10,5,12]",2026-02-06,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
basement waterproofing grand rapids,1,1,90,23,18.48,https://www.groundworks.com/locations/foundation-systems-of-michigan/grand-rapids-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_fsm-gr,11,0.01,203.00,0.66,182000,"[42,66,42,52,42,33,33,42,33,66,52,52]",2026-02-26,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Local pack
cracked slab foundation,2,2,170,7,6.61,https://www.groundworks.com/solutions/foundation-repair/cracked-foundation-slab/,11,0.01,72.00,0.42,0,"[34,43,81,65,28,21,100,65,53,53,65,43]",2026-03-07,"Sitelinks, Video, Image, Video Carousel, Related searches, AI overview",informational,Organic
drainage system for basement,1,1,390,8,11.83,https://www.groundworks.com/resources/the-most-important-things-to-know-about-basement-drains/,11,0.01,130.00,0.63,0,"[7,72,21,72,100,7,48,32,21,17,21,17]",2026-03-07,"Image pack, Sitelinks, Video, Video Carousel, Related searches, Short videos, AI overview",informational,Organic
largest dam in usa,3,3,320,22,0.04,https://www.groundworks.com/resources/biggest-dam-projects-in-us/,11,0.01,0.00,0.02,204000000,"[32,72,48,32,39,26,26,21,5,32,32,21]",2026-02-05,"Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
largest reservoirs in the united states,1,1,320,15,0.00,https://www.groundworks.com/resources/biggest-dam-projects-in-us/,11,0.01,0.00,0,0,"[13,20,13,24,24,24,30,24,36,30,24,20]",2026-01-10,"Image pack, Sitelinks, Video, Image, Related searches, AI overview",informational,AI overview
what city gets the most rain in the us,1,1,140,36,1.33,https://www.groundworks.com/resources/worst-us-cities-for-rainfall/,11,0.01,14.00,0.02,1280000000,"[52,80,52,42,100,42,100,52,100,80,42,42]",2026-01-06,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
crawlspace into basement,2,1,390,13,3.83,https://www.groundworks.com/resources/can-i-dig-out-my-crawl-space-into-a-full-basement/,11,0.01,42.00,0.33,8290000,"[0,0,100,100,16,20,67,67,0,0,0,3]",2026-03-08,"Image pack, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
groundwork contractors,1,1,140,25,0.00,https://www.groundworks.com/locations/groundworks-denver/groundworks-denver-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-dnv,11,0.01,0.00,0.06,3270000,"[34,43,34,100,100,81,65,15,15,9,6,6]",2026-01-26,"Local pack, Video, Image, People also ask, Related searches",commercial,Local pack
us snowiest cities,7,7,480,24,0.15,https://www.groundworks.com/resources/top-10-snowiest-cities-in-the-us-how-heavy-snowfall-can-impact-your-home/,11,0.01,1.00,0.01,836000,"[4,3,53,3,2,16,18,2,3,0,0,0]",2026-01-21,"Video, Image, Video Carousel, Related searches, AI overview",informational,Organic
foundation repair solutions,3,3,590,43,7.52,https://www.groundworks.com/resources/top-4-foundation-repair-solutions/,11,0.01,82.00,0.07,136000000,"[8,24,13,20,24,20,30,55,76,67,67,100]",2026-02-14,"Local pack, Video, People also ask, Related searches, AI overview",informational,Organic
step cracks in foundation,3,3,480,3,4.10,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,11,0.01,45.00,0.39,33300000,"[5,5,15,12,81,81,100,100,100,81,19,19]",2026-01-12,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
concrete leveling contractors,4,4,880,43,12.33,https://www.groundworks.com/solutions/concrete-lifting/,11,0.01,135.00,0.03,3960000,"[2,7,31,37,52,46,46,46,100,84,84,52]",2026-01-11,"Local pack, Video, Ads bottom, People also ask, Related searches",commercial,Organic
water in basement pittsburgh,1,1,140,2,19.81,https://www.groundworks.com/locations/groundworks-pittsburgh/groundworks-pittsburgh-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_bkw-pit,11,0.01,217.00,0.71,4090000,"[23,15,44,8,23,35,54,23,18,18,18,15]",2026-01-26,"Local pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums",commercial,Local pack
bee and wasp nest identification,4,5,390,21,0.00,https://www.groundworks.com/resources/what-hive-is-it/,11,0.01,0.00,0,0,"[8,8,16,30,30,36,67,67,36,36,16,8]",2026-03-08,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, AI overview",informational,Organic
complete basement systems,4,4,320,21,11.05,https://www.groundworks.com/locations/complete-basement-systems/,11,0.01,121.00,0.52,58500000,"[5,11,8,11,11,13,13,16,11,8,7,7]",2026-02-03,"Local pack, Sitelinks, Video, Video Carousel, Related searches",commercial,Organic
crawlspace to basement conversion,6,6,2900,3,4.62,https://www.groundworks.com/resources/can-i-dig-out-my-crawl-space-into-a-full-basement/,11,0.01,50.00,0.55,141,"[3,4,5,16,16,19,13,54,44,36,66,100]",2026-03-06,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
largest dams in united states,3,3,170,25,0.04,https://www.groundworks.com/resources/biggest-dam-projects-in-us/,11,0.01,0.00,0.02,21500000,"[28,17,23,23,82,53,28,66,53,100,43,66]",2026-01-20,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
most humid cities in america,4,4,260,32,0.00,https://www.groundworks.com/resources/most-humid-cities-in-the-us/,11,0.01,0.00,0.01,15600000,"[19,23,44,44,54,4,12,81,7,29,23,23]",2026-02-12,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
concrete piers foundation,3,3,590,10,4.46,https://www.groundworks.com/resources/5-things-to-know-about-foundation-piers/,11,0.01,49.00,0.17,5690000,"[32,39,32,48,32,48,100,48,100,88,88,72]",2026-02-27,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos",informational,Organic
rod martin's complete basement systems,3,3,170,9,11.51,https://www.groundworks.com/locations/groundworks-denver/groundworks-denver-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-dnv,11,0.01,126.00,0.57,377000,"[18,22,29,35,66,29,54,14,35,35,14,22]",2026-01-13,"Knowledge panel, Local pack, Video, Ads bottom, Related searches",commercial,Local pack
crawl space foundation repair near me,3,3,480,5,14.41,https://www.groundworks.com/solutions/crawl-space-repair/,11,0.01,158.00,0.09,5440000,"[6,6,16,16,16,24,20,36,100,36,76,100]",2026-01-28,"Local pack, Sitelinks, Video, People also ask, Related searches",transactional,Organic
crawl space humidity,11,11,2900,16,4.80,https://www.groundworks.com/solutions/crawl-space-repair/high-humidity/,11,0.01,52.00,0.5,3580000,"[3,4,3,7,4,7,10,12,81,100,100,81]",2026-03-02,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
denver foundation repair,1,1,90,29,27.31,https://www.groundworks.com/locations/groundworks-denver/groundworks-denver-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-dnv,11,0.01,300.00,0.86,15600000,"[6,5,3,6,3,5,3,13,10,8,10,6]",2026-02-23,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Local pack
floor supports,1,1,170,6,2.00,https://www.groundworks.com/glossary/floor-joists/,11,0.01,22.00,0.92,1820000000,"[43,65,65,28,34,28,21,81,100,53,81,65]",2026-02-01,"Knowledge panel, Image pack, Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches",informational,People also ask
groundwork construction,1,1,90,13,5.78,https://www.groundworks.com/locations/groundworks-houston/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-hou,11,0.01,63.00,0.32,26000000,"[34,34,53,65,53,53,34,42,11,11,15,15]",2026-03-03,"Local pack, Sitelinks, Video, Image, People also ask, Related searches, See results about",commercial,Local pack
slab house plumbing diagram,1,1,170,4,0.00,https://www.groundworks.com/resources/can-you-install-plumbing-above-a-slab-foundation/,11,0.01,0.00,0.05,3790000,"[35,35,53,66,53,53,66,35,43,35,43,35]",2026-01-23,"Image pack, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums","informational, transactional",People also ask
home foundation work,1,1,90,19,17.99,https://www.groundworks.com/locations/groundworks-omaha/groundworks-omaha-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-oma,11,0.01,197.00,0.84,1810000000,"[35,50,78,50,64,50,78,50,78,64,100,78]",2026-01-19,"Local pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums",commercial,Local pack
the rainiest city in the united states,4,4,390,44,0.16,https://www.groundworks.com/resources/worst-us-cities-for-rainfall/,11,0.01,1.00,0.01,334000,"[44,5,3,3,100,11,0,0,0,0,0,0]",2026-02-01,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
foundation leak repair irving,1,1,90,3,0.00,https://www.groundworks.com/locations/groundworks-dallas/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-dfw,11,0.01,0.00,0,523000,"[3,3,9,6,9,6,3,15,65,65,53,100]",2026-01-09,"Local pack, Video, Ads bottom, People also ask, Related searches",commercial,Local pack
most humid cities in the united states,2,2,140,25,0.00,https://www.groundworks.com/resources/most-humid-cities-in-the-us/,11,0.01,0.00,0.01,15400000,"[23,19,29,23,29,1,0,3,1,0,54,3]",2026-02-28,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
wood rot in crawl space,3,3,1300,5,7.87,https://www.groundworks.com/resources/5-signs-of-wood-rot-in-your-crawl-space-you-shouldnt-ignore/,11,0.01,86.00,0.31,2120000,"[2,2,0,2,0,2,1,3,100,100,29,53]",2026-01-31,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
biggest dams in the us,1,1,260,22,0.04,https://www.groundworks.com/resources/biggest-dam-projects-in-us/,10,0.01,0.00,0.02,17400000,"[22,66,35,43,54,43,54,81,100,54,43,66]",2026-02-25,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,People also ask
why is my ceiling cracking,1,1,260,13,2.05,https://www.groundworks.com/resources/how-serious-are-ceiling-cracks/,10,0.01,20.00,0.15,23800000,"[54,66,100,66,35,28,28,28,44,35,23,44]",2026-01-11,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, AI overview","informational, transactional",People also ask
basement waterproofing foundation repair,3,3,480,49,18.31,https://www.groundworks.com/solutions/basement-waterproofing/,10,0.01,183.00,0.41,4310000,"[13,10,10,5,8,8,16,20,30,62,100,45]",2026-01-11,"Local pack, Sitelinks, Video, Ads bottom, People also ask, Related searches",commercial,Organic
basement pool,2,2,480,8,2.84,https://www.groundworks.com/resources/our-picks-for-top-basements-with-hot-tubs-pools-saunas-or-steam-rooms/,10,0.01,28.00,0.04,86700000,"[48,59,59,48,48,59,59,72,32,21,39,39]",2026-01-10,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
waterproof paint for basement walls,1,1,590,22,1.34,https://www.groundworks.com/resources/9-practical-tips-to-stop-water-leakage-in-your-basement-after-rain/,10,0.01,13.00,0.92,6590000,"[36,36,66,100,100,100,81,81,100,66,100,100]",2026-01-21,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums, AI overview","commercial, informational",People also ask
what is self leveling concrete,1,1,170,27,1.25,https://www.groundworks.com/resources/is-self-leveling-concrete-good/,10,0.01,12.00,0.34,199000000,"[100,80,52,80,66,80,80,100,80,80,66,66]",2026-02-28,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,AI overview
concrete leveling columbus,1,1,90,25,15.02,https://www.groundworks.com/service-areas/concrete-lifting-columbus-oh/,10,0.01,150.00,0.79,302000,"[12,12,12,23,23,35,28,28,28,23,23,23]",2026-02-04,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,AI overview
average snowfall for buffalo ny,1,1,320,30,0.00,https://www.groundworks.com/resources/top-10-snowiest-cities-in-the-us-how-heavy-snowfall-can-impact-your-home/,10,0.01,0.00,0,1360000,"[20,13,13,4,4,8,11,7,16,13,11,16]",2026-02-11,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask
sump pump problems,1,1,320,13,8.66,https://www.groundworks.com/solutions/basement-waterproofing/sump-pump-failure/,10,0.01,86.00,0.54,13600000,"[19,29,19,44,36,44,44,36,54,44,23,23]",2026-01-12,"Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches, Things to know, Discussions and forums, AI overview",informational,People also ask
what states have basements,1,1,170,22,0.00,https://www.groundworks.com/resources/which-us-cities-have-the-most-basements/,10,0.01,0.00,0.01,9310000,"[65,81,53,43,53,53,65,53,53,43,34,43]",2026-02-19,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,AI overview
scary basment,1,1,260,25,0.00,https://www.groundworks.com/resources/scariest-room-in-the-home/,10,0.01,0.00,0,44700000,"[7,7,19,19,44,36,19,23,100,29,44,29]",2026-01-24,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,People also ask
what causes foundation issues,1,1,170,8,3.31,https://www.groundworks.com/resources/most-common-foundation-problems/,10,0.01,33.00,0.5,516000000,"[52,52,42,66,66,80,100,100,66,66,100,80]",2026-02-17,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,AI overview
foundation leaks,1,1,480,9,18.16,https://www.groundworks.com/resources/how-to-fix-pipe-under-slab/,10,0.01,181.00,0.56,127000000,"[15,23,44,67,54,44,36,100,100,67,29,44]",2026-02-11,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Things to know, Discussions and forums, AI overview",informational,People also ask
basement floor crack repair cost,1,1,320,7,8.66,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,10,0.01,86.00,0.71,183,"[4,19,7,100,100,15,12,100,67,7,12,7]",2026-03-04,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
floods where do they occur,1,1,590,35,0.00,https://www.groundworks.com/resources/16-worst-us-cities-for-flooding/,10,0.01,0.00,0,76000000,"[13,13,13,16,30,81,100,20,5,8,81,62]",2026-01-15,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
largest dam in the usa,1,1,260,20,0.04,https://www.groundworks.com/resources/biggest-dam-projects-in-us/,10,0.01,0.00,0.02,97400000,"[1,2,2,2,4,3,2,100,0,7,25,4]",2026-02-18,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
crawl under house foudation,1,1,880,17,0.00,https://www.groundworks.com/resources/9-signs-your-home-has-a-crawl-space-problem/,10,0.01,0.00,0,18900000,"[100,0]",2026-02-28,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
hairline dangerous ceiling cracks,1,1,480,12,0.00,https://www.groundworks.com/resources/how-serious-are-ceiling-cracks/,10,0.01,0.00,0.04,289000,"[45,13,76,55,8,24,24,10,36,20,45,20]",2026-02-12,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,People also ask
wet basement repair,10,10,3600,29,21.56,https://www.groundworks.com/solutions/basement-waterproofing/,10,0.01,215.00,0.11,0,"[4,7,8,23,44,54,54,100,7,10,10,10]",2026-03-07,"Local pack, Video, Video Carousel, Related searches, AI overview",commercial,Organic
bee hive pictures,1,1,260,32,0.49,https://www.groundworks.com/resources/what-hive-is-it/,10,0.01,4.00,0.67,5840000,"[11,28,28,54,66,0,44,66,81,54,35,44]",2026-03-03,"Image pack, Video, Image, People also ask, Related searches",informational,People also ask
ohio basement authority,6,6,3600,36,8.96,https://www.groundworks.com/locations/ohio-basement-authority/,10,0.01,89.00,0.58,123,"[13,16,16,24,29,19,16,19,24,19,19,13]",2026-03-04,"Local pack, Video, People also ask, Related searches, Things to know",navigational,Organic
what states have the most earthquakes,1,1,260,,0.00,https://www.groundworks.com/resources/worst-us-cities-for-earthquakes/,10,0.01,0.00,0,35900000,"[48,59,21,14,26,59,26,32,14,32,9,11]",2026-01-27,"Image pack, Sitelinks, Video, Featured snippet, Video Carousel, People also ask, Related searches",informational,People also ask
types of bees nests,2,2,320,17,0.00,https://www.groundworks.com/resources/what-hive-is-it/,10,0.01,0.00,0.01,3780000,"[14,4,5,11,14,21,39,100,88,39,17,7]",2026-02-20,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,People also ask
ceiling cracks when to worry,1,1,480,5,2.61,https://www.groundworks.com/resources/how-serious-are-ceiling-cracks/,10,0.01,26.00,0.06,33600000,"[20,24,24,24,20,20,20,16,24,24,20,16]",2026-01-13,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,People also ask
water in basement after heavy rain,1,1,320,11,18.00,https://www.groundworks.com/resources/9-practical-tips-to-stop-water-leakage-in-your-basement-after-rain/,10,0.01,180.00,0.33,17200000,"[9,7,11,17,32,32,48,88,59,32,39,17]",2026-01-26,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,AI overview
water in basement after heavy rain,1,1,320,11,18.00,https://www.groundworks.com/resources/9-practical-tips-to-stop-water-leakage-in-your-basement-after-rain/,10,0.01,180.00,0.33,17200000,"[9,7,11,17,32,32,48,88,59,32,39,17]",2026-01-26,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
$30000 foundation repair,1,1,590,4,5.54,https://www.groundworks.com/resources/fix-foundation-issues-or-sell-your-home/,10,0.01,55.00,0.78,16900000,"[7,8,7,10,4,13,7,16,79,100,10,13]",2026-01-06,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
cracked ceiling,1,1,320,26,3.42,https://www.groundworks.com/resources/how-serious-are-ceiling-cracks/,10,0.01,34.00,0.2,70700000,"[20,6,55,4,20,4,4,10,36,1,13,36]",2026-01-11,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
sump pump issues,1,1,320,9,8.66,https://www.groundworks.com/solutions/basement-waterproofing/sump-pump-failure/,10,0.01,86.00,0.54,11300000,"[44,44,28,54,66,66,66,54,66,35,35,28]",2026-01-12,"Video, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,People also ask
