Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
cracked basement floor,91,91,170,4,4.50,https://www.a1foundationcrackrepair.com/concrete-floor-cracks,0,0,0.00,0.07,28600000,"[54,28,8,8,15,23,35,44,35,28,28,23]",2026-02-23,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
fieldstone foundation,26,26,390,12,2.57,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/leaking-stone-foundations-fieldstone-foundation-waterproofing,0,0,0.00,0.06,1080000,"[54,54,54,66,54,66,54,81,54,54,54,44]",2026-02-17,"Knowledge panel, Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, AI overview","informational, transactional",Organic
crack in concrete basement wall leaking water,40,40,30,7,9.08,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/how-to-fix-leaking-basement-walls,0,0,0.00,0.92,3740000,"[22,22,22,22,22,22,22,22,22,100,22,22]",2026-01-09,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
foundation crack repair rocky point,49,49,90,7,0.00,https://www.a1foundationcrackrepair.com/connecticut,0,0,0.00,0,832000,"[11,100,26,26,19,26,26]",2026-02-04,"Local pack, Video, People also ask",commercial,Organic
stairs repair,28,28,210,15,4.49,https://www.a1foundationcrackrepair.com/damaged-stairs,0,0,0.00,0.41,83000000,"[15,35,54,54,35,28,35,35,15,28,28,35]",2026-03-01,"Local pack, Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches",commercial,Organic
basement hatch,1,1,210,25,1.04,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/leaking_bulkheads_need_waterproofing,0,0,0.00,0.78,9090000,"[35,35,43,53,53,53,43,82,82,100,66,53]",2026-02-28,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Short videos",informational,People also ask
plastic basement door,3,3,30,5,0.83,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/leaking_bulkheads_need_waterproofing,0,0,0.00,0.9,21400000,"[71,57,71,57,57,71,57,28,42,28,28,28]",2026-03-02,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches","commercial, informational",People also ask
fix spalling concrete,72,72,880,20,3.01,https://www.a1foundationcrackrepair.com/spalling-concrete,0,0,0.00,0.35,878000,"[16,41,36,100,79,20,8,30,16,24,36,24]",2026-01-28,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
cracked cement floor,77,77,50,35,4.28,https://www.a1foundationcrackrepair.com/concrete-floor-cracks,0,0,0.00,0.4,16500000,"[14,64,64,21,21,100,21,35,35,21,35,64]",2026-03-02,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
bulkhead house,1,1,260,2,0.43,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/leaking_bulkheads_need_waterproofing,0,0,0.00,0.02,8370000,"[43,43,43,66,66,82,66,82,66,100,66,53]",2026-02-25,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,People also ask
foundation repair ct,8,8,70,20,14.58,https://www.a1foundationcrackrepair.com/connecticut,0,0,0.00,0.42,29800000,"[11,17,11,11,17,41,11,64,64,64,41,64]",2026-02-27,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
foundation repair ct,27,27,70,20,14.58,https://www.a1foundationcrackrepair.com/residential-services,0,0,0.00,0.42,29800000,"[11,17,11,11,17,41,11,64,64,64,41,64]",2026-02-27,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
sealing exterior foundation cracks,56,56,50,9,6.00,https://www.a1foundationcrackrepair.com/,0,0,0.00,0.92,4070000,"[9,9,9,9,9,9,100,9,100,9,9,9]",2026-02-18,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
sealing exterior foundation cracks,84,84,50,9,6.00,https://www.a1foundationcrackrepair.com/,0,0,0.00,0.92,4070000,"[9,9,9,9,9,9,100,9,100,9,9,9]",2026-02-18,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
leak in foundation wall,62,62,170,4,8.39,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/how-do-i-find-a-basement-leak-behind-a-finished-wall-ma-ri-nh-ct,0,0,0.00,0.38,51800000,"[4,4,4,4,81,100,81,100,4,6,4,6]",2026-01-20,"Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
flex seal spray waterproof,1,1,170,31,0.34,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/flex-seal-reviews-does-it-really-work-on-leaking-basement-wall-cracks-and-leaks-boston,0,0,0.00,1,4210000,"[43,34,43,53,65,100,53,34,81,81,65,21]",2026-02-27,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums, AI overview","informational, transactional",People also ask
small cracks in basement floor,79,79,170,16,3.33,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/basement-floor-cracks-dangerous-or-not-boston,0,0,0.00,0.02,11500000,"[4,4,4,4,54,14,35,66,35,43,100,100]",2026-01-29,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
concrete spalling repairs,60,60,70,14,3.01,https://www.a1foundationcrackrepair.com/spalling-concrete,0,0,0.00,0.35,1070000,"[10,8,8,100,6,10,6,2,2,0,0,0]",2026-01-17,"Local pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",commercial,Organic
crawlspace wall cracks,88,88,50,1,0.00,https://www.a1foundationcrackrepair.com/concrete-wall-cracks,0,0,0.00,0,3520000,"[0,0,100,71,71,100,100]",2026-02-19,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
basement water leak fix,49,49,140,8,19.37,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/how-to-fix-leaking-basement-walls,0,0,0.00,0.64,21000000,"[15,15,36,67,2,3,4,7,7,4,4,7]",2026-02-21,"Local pack, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
bilco bulkhead installation,2,2,90,15,0.00,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/leaking_bulkheads_need_waterproofing,0,0,0.00,0.86,15800,"[9,9,9,19,14,19,14,100,100,66,66,66]",2026-03-02,"Image pack, Video, Video Carousel, People also ask, Related searches","navigational, transactional",People also ask
pioneer basement westport ma,95,95,260,29,6.71,https://www.a1foundationcrackrepair.com/basement-waterproofing,0,0,0.00,0.41,108000,"[12,12,12,36,44,44,44,23,44,29,36,36]",2026-01-14,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
lift pit waterproofing,51,51,50,1,0.00,https://www.a1foundationcrackrepair.com/wet-elevator-pits-vaults,0,0,0.00,0.33,977000,"[33,33,33,42,33,52,52,9,9,9,0,9]",2026-02-04,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
lift pit waterproofing,55,55,50,1,0.00,https://www.a1foundationcrackrepair.com/wet-elevator-pits-vaults,0,0,0.00,0.33,977000,"[33,33,33,42,33,52,52,9,9,9,0,9]",2026-02-04,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
basement waterproofing worcester ma,77,77,110,39,0.00,https://www.a1foundationcrackrepair.com/,0,0,0.00,0.08,0,"[5,5,28,35,82,100,43,17,35,7,5,7]",2026-03-06,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Organic
basement waterproofing worcester ma,91,91,110,39,0.00,https://www.a1foundationcrackrepair.com/basement-waterproofing,0,0,0.00,0.08,0,"[5,5,28,35,82,100,43,17,35,7,5,7]",2026-03-06,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Organic
fixing cracks in concrete basement floor,30,30,170,21,3.06,https://www.a1foundationcrackrepair.com/concrete-floor-cracks,0,0,0.00,0.06,10300000,"[4,4,35,22,4,4,22,22,22,54,100,100]",2026-02-08,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
concrete repair ma,10,10,40,2,0.00,https://www.a1foundationcrackrepair.com/,0,0,0.00,0,55600000,"[100,80,20]",2026-01-09,"Local pack, Video, People also ask, Related searches",commercial,Organic
concrete repair ma,28,28,40,2,0.00,https://www.a1foundationcrackrepair.com/massachusetts,0,0,0.00,0,55600000,"[100,80,20]",2026-01-09,"Local pack, Video, People also ask, Related searches",commercial,Organic
does hydraulic cement expand,24,24,70,8,0.00,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/does-flexseal-work-on-basement-water-problems-nashua-nh,0,0,0.00,0.03,3410000,"[17,10,17,17,17,12,17,12,28,23,28,12]",2026-02-01,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
foundation repair manchester nh,47,47,30,2,74.79,https://www.a1foundationcrackrepair.com/new-hampshire,0,0,0.00,0.8,635000,"[2,2,2,2,2,2,2,6,4,2,4,2]",2026-02-22,"Local pack, Video, Image, Ads bottom, People also ask, Related searches",commercial,Organic
leaking tie rod,1,1,140,16,0.00,https://www.a1foundationcrackrepair.com/tie-rods,0,0,0.00,0,6360000,"[53,34,19,34,53,100,65,42,65,53,42,53]",2026-01-20,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,AI overview
water in basement repair,62,62,1600,26,34.22,https://www.a1foundationcrackrepair.com/basement-waterproofing,0,0,0.00,0.58,66100000,"[1,1,2,2,15,5,81,7,100,66,1,5]",2026-02-07,"Local pack, Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches",commercial,Organic
lally column concrete filled,36,36,90,5,0.89,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/lally-columns-what-you-should-and-should-not-use-boston-ma,0,0,0.00,0.63,39500,"[50,78,50,64,50,50,35,64,50,64,78,100]",2026-01-28,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic
repairing cracks in garage floor,83,83,30,24,3.26,https://www.a1foundationcrackrepair.com/concrete-floor-cracks,0,0,0.00,0.91,10600000,"[0,20,100,60,80,60,80,100,60,60,80,20]",2026-01-25,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
termite damage in basement,56,56,50,0,0.00,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/what-do-foundation-cracks-and-termites-have-in-common,0,0,0.00,0.08,866000,"[18,18,18,18,18,100,100,18,100,100,18,18]",2026-01-23,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums",informational,Organic
plumbing sealant for leaks,1,1,110,19,2.92,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/flex-seal-reviews-does-it-really-work-on-leaking-basement-wall-cracks-and-leaks-boston,0,0,0.00,1,3760000,"[42,42,34,42,42,65,42,53,42,42,42,53]",2026-02-24,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums, AI overview",informational,People also ask
bulkhead construction,44,44,720,16,3.94,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-wanted-to-know-about-bulkheads-but-were-too-afraid-to-ask,0,0,0.00,0.11,5150000,"[55,45,55,55,45,76,30,55,55,55,45,36]",2026-01-08,"Local pack, Image pack, Video, Video Carousel, People also ask, Related searches",informational,Organic
bulkhead construction,55,55,720,16,3.94,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-wanted-to-know-about-bulkheads-but-were-too-afraid-to-ask,0,0,0.00,0.11,5150000,"[55,45,55,55,45,76,30,55,55,55,45,36]",2026-01-08,"Local pack, Image pack, Video, Video Carousel, People also ask, Related searches",informational,Organic
bulkhead construction,59,59,720,16,3.94,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-wanted-to-know-about-bulkheads-but-were-too-afraid-to-ask,0,0,0.00,0.11,5150000,"[55,45,55,55,45,76,30,55,55,55,45,36]",2026-01-08,"Local pack, Image pack, Video, Video Carousel, People also ask, Related searches",informational,Organic
cracks in floor,68,68,320,11,7.85,https://www.a1foundationcrackrepair.com/concrete-floor-cracks,0,0,0.00,0.05,93800000,"[3,7,7,7,10,15,23,54,100,81,67,36]",2026-02-01,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
termites on foundation,42,42,40,15,0.00,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/what-do-foundation-cracks-and-termites-have-in-common,0,0,0.00,0.07,4200000,"[9,9,9,9,9,52,52,9,9,9,52,9]",2026-02-25,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
residential concrete foundation repair,61,61,50,20,0.00,https://www.a1foundationcrackrepair.com/,0,0,0.00,0.43,18700000,"[18,18,18,18,18,18,27,36,100,100,45,45]",2026-01-09,"Local pack, Sitelinks, Video, Video Carousel, People also ask, Related searches",commercial,Organic
foundation repair riverhead,89,89,40,6,0.00,https://www.a1foundationcrackrepair.com/new-hampshire,0,0,0.00,0,305000,"[0,22,11,11,11,33,77,100,77,55,77]",2026-01-08,"Knowledge panel, Video, People also ask, Related searches, AI overview",commercial,Organic
sidewalk spalling,48,48,170,13,0.00,https://www.a1foundationcrackrepair.com/spalling-concrete,0,0,0.00,0,243000,"[42,53,42,80,80,65,80,65,34,53,100,42]",2026-01-05,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
groundworks sump pump,32,32,40,,6.50,https://www.a1foundationcrackrepair.com/sump-pump,0,0,0.00,0.78,112000,"[0,0,0,0,41,82,11,23,100,11,11,11]",2026-01-24,"Local pack, Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches",navigational,Organic
groundworks sump pump,65,65,40,,6.50,https://www.a1foundationcrackrepair.com/sump-pump,0,0,0.00,0.78,112000,"[0,0,0,0,41,82,11,23,100,11,11,11]",2026-01-24,"Local pack, Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches",navigational,Organic
the crack man,22,22,40,17,10.00,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/the-crackman-helps-homeowner-solve-a-garage-foundation-problem-in-auburn,0,0,0.00,0.22,320000000,"[18,18,18,18,18,18,18,18,100,27,100,18]",2026-02-05,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
the crack man,33,33,40,17,10.00,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/the-crackman-becomes-clairvoyant-in-bellingham-ma,0,0,0.00,0.22,320000000,"[18,18,18,18,18,18,18,18,100,27,100,18]",2026-02-05,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
the crack man,91,91,40,17,10.00,https://www.a1foundationcrackrepair.com/crackman-tips,0,0,0.00,0.22,320000000,"[18,18,18,18,18,18,18,18,100,27,100,18]",2026-02-05,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
residential concrete waterproofing services,77,77,50,32,0.00,https://www.a1foundationcrackrepair.com/new-hampshire,0,0,0.00,0,17400000,"[33,55,100,100,100,77,100,100,44,0,0]",2026-01-26,"Local pack, Ads bottom, People also ask, Related searches",commercial,Organic
fix basement floor,46,46,170,22,11.00,https://www.a1foundationcrackrepair.com/concrete-floor-cracks,0,0,0.00,0.13,27300000,"[18,23,15,11,15,28,44,23,11,66,100,11]",2026-03-05,"Local pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
leaking basement repair near me,61,61,40,28,26.82,https://www.a1foundationcrackrepair.com/residential-services,0,0,0.00,0.7,10900000,"[28,28,71,71,57,57,71,100,100,71,28,14]",2026-01-26,"Local pack, Video, People also ask, Related searches",transactional,Organic
foundation crack repair service,9,9,260,22,25.06,https://www.a1foundationcrackrepair.com/residential-services,0,0,0.00,0.17,8460000,"[2,2,19,23,36,36,36,44,66,100,44,12]",2026-01-05,"Local pack, Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches",commercial,Organic
foundation crack repair williston park,23,23,70,2,0.00,https://www.a1foundationcrackrepair.com/residential-services,0,0,0.00,0,47900,"[0,100,81,63,45,63,45]",2026-02-02,"Local pack, Video, People also ask, Related searches",commercial,Organic
foundation crack repair williston park,38,38,70,2,0.00,https://www.a1foundationcrackrepair.com/residential-services,0,0,0.00,0,47900,"[0,100,81,63,45,63,45]",2026-02-02,"Local pack, Video, People also ask, Related searches",commercial,Organic
foundation crack repair williston park,55,55,70,2,0.00,https://www.a1foundationcrackrepair.com/concrete-wall-cracks,0,0,0.00,0,47900,"[0,100,81,63,45,63,45]",2026-02-02,"Local pack, Video, People also ask, Related searches",commercial,Organic
foundation crack repair williston park,60,60,70,2,0.00,https://www.a1foundationcrackrepair.com/concrete-wall-cracks,0,0,0.00,0,47900,"[0,100,81,63,45,63,45]",2026-02-02,"Local pack, Video, People also ask, Related searches",commercial,Organic
lally column permanent,7,7,90,4,0.85,https://www.a1foundationcrackrepair.com/lp-lally-column-replacement,0,0,0.00,0.89,45600,"[53,53,34,34,26,26,26,26,26,26,26,34]",2026-02-03,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches, AI overview",informational,Organic
lally column permanent,19,19,90,4,0.85,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/lally-column-installation-temporary-versus-permanent-lally-columns-ma-ri-nh-ct,0,0,0.00,0.89,45600,"[53,53,34,34,26,26,26,26,26,26,26,34]",2026-02-03,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches, AI overview",informational,Organic
lally column permanent,35,35,90,4,0.85,https://www.a1foundationcrackrepair.com/lally-column-replacement,0,0,0.00,0.89,45600,"[53,53,34,34,26,26,26,26,26,26,26,34]",2026-02-03,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches, AI overview",informational,Organic
lally column permanent,38,38,90,4,0.85,https://www.a1foundationcrackrepair.com/lally-column-replacement,0,0,0.00,0.89,45600,"[53,53,34,34,26,26,26,26,26,26,26,34]",2026-02-03,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches, AI overview",informational,Organic
foundation crack repair old field,8,8,40,15,0.00,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,0,0,0.00,0,6010000,"[60,100,100]",2026-02-20,"Local pack, Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Local pack
foundation crack repair old field,14,14,40,15,0.00,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/historic_and_antique_homes_have_foundation_cracks,0,0,0.00,0,6010000,"[60,100,100]",2026-02-20,"Local pack, Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
foundation crack repair old field,71,71,40,15,0.00,https://www.a1foundationcrackrepair.com/residential-services,0,0,0.00,0,6010000,"[60,100,100]",2026-02-20,"Local pack, Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
cracks in basement floor,33,33,1900,12,4.50,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-needed-and-wanted-to-know-about-basement-floor-cracks,0,0,0.00,0.07,12000000,"[18,18,16,18,18,16,53,44,29,66,100,44]",2026-03-02,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, Things to know, AI overview",informational,Organic
cracks in basement floor,37,37,1900,12,4.50,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-needed-and-wanted-to-know-about-basement-floor-cracks,0,0,0.00,0.07,12000000,"[18,18,16,18,18,16,53,44,29,66,100,44]",2026-03-02,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, Things to know, AI overview",informational,Organic
cracks in basement floor,80,80,1900,12,4.50,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/basement-floor-cracks-dangerous-or-not-boston,0,0,0.00,0.07,12000000,"[18,18,16,18,18,16,53,44,29,66,100,44]",2026-03-02,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, Things to know, AI overview",informational,Organic
cement block foundation repair,74,74,210,8,6.97,https://www.a1foundationcrackrepair.com/block-foundation-crack-repair,0,0,0.00,0.59,15700000,"[28,35,82,100,53,82,43,66,53,53,53,43]",2026-01-30,"Local pack, Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches","informational, transactional",Organic
crack in foundation leaking water,27,27,110,22,9.93,https://www.a1foundationcrackrepair.com/,0,0,0.00,0.72,3780000,"[3,2,7,5,100,7,7,7,2,2,2,2]",2026-02-11,"Sitelinks, Video, Image, Ads bottom, Video Carousel, Related searches, AI overview",informational,Organic
crack in foundation leaking water,36,36,110,22,9.93,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/basement-and-foundation-cracks-cause-foundation-leaks-boston,0,0,0.00,0.72,3780000,"[3,2,7,5,100,7,7,7,2,2,2,2]",2026-02-11,"Sitelinks, Video, Image, Ads bottom, Video Carousel, Related searches, AI overview",informational,Organic
crack in foundation leaking water,39,39,110,22,9.93,https://www.a1foundationcrackrepair.com/,0,0,0.00,0.72,3780000,"[3,2,7,5,100,7,7,7,2,2,2,2]",2026-02-11,"Sitelinks, Video, Image, Ads bottom, Video Carousel, Related searches, AI overview",informational,Organic
how to repoint stone foundation,22,22,30,8,2.78,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/when-do-you-need-to-repoint-a-stone-foundation-boston-ma,0,0,0.00,0.26,119000,"[63,18,18,18,18,18,18,18,18,18,18,18]",2026-02-12,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos",informational,Organic
how to repoint stone foundation,49,49,30,8,2.78,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/how-repointing-stone-foundations-solves-rat-and-water-problems-boston-ma,0,0,0.00,0.26,119000,"[63,18,18,18,18,18,18,18,18,18,18,18]",2026-02-12,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos",informational,Organic
pinhole in a wall,13,13,50,3,0.00,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/i-have-a-small-pinhole-leak-in-my-foundation-wall-boston,0,0,0.00,0.33,4290000,"[18,18,18,18,18,100,18,18,18,100,100,100]",2026-01-13,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
wall foundation repair,27,27,110,15,8.17,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/do-i-need-to-repair-exterior-foundation-walls-that-are-damaged-pitted-or-spalled,0,0,0.00,0.68,66200000,"[80,42,34,26,42,26,53,80,53,26,26,19]",2026-03-04,"Local pack, Video, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums",commercial,Organic
water leaking through crack in basement wall,32,32,30,,6.93,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/how-to-fix-leaking-basement-walls,0,0,0.00,0.84,13500000,"[11,11,11,11,11,11,23,11,11,100,11,11]",2026-01-08,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
flex seal waterproofing,1,1,260,41,0.50,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/flex-seal-reviews-does-it-really-work-on-leaking-basement-wall-cracks-and-leaks-boston,0,0,0.00,1,11500000,"[9,12,23,44,54,66,66,36,29,23,36,54]",2026-02-23,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Things to know, AI overview","informational, transactional",People also ask
trusted professionals for foundation wall cracks,67,67,40,1,0.00,https://www.a1foundationcrackrepair.com/concrete-wall-cracks,0,0,0.00,0,7350000,"[100,100,57,28,28]",2026-02-15,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",commercial,Organic
beam basement,24,24,140,16,3.51,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/what-are-the-beam-pockets-and-i-should-be-worried-about-them,0,0,0.00,0.18,17000000,"[53,53,53,26,34,65,65,53,26,53,65,100]",2026-01-26,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
how does a dehumidifier work in a basement,96,96,30,4,0.68,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/how_home_dehumidifiers_work,0,0,0.00,0.43,3950000,"[28,28,28,28,28,28,42,42,71,100,71,57]",2026-01-06,"Video, Featured snippet, Video Carousel, People also ask, Related searches, Discussions and forums",informational,Organic
crack repair near me,51,51,210,27,14.78,https://www.a1foundationcrackrepair.com/,0,0,0.00,0.54,235000000,"[2,2,8,16,8,11,8,20,20,13,11,7]",2026-02-24,"Local pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",transactional,Organic
crack repair near me,60,60,210,27,14.78,https://www.a1foundationcrackrepair.com/,0,0,0.00,0.54,235000000,"[2,2,8,16,8,11,8,20,20,13,11,7]",2026-02-24,"Local pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",transactional,Organic
vinyl bilco doors,3,3,40,11,3.71,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/leaking_bulkheads_need_waterproofing,0,0,0.00,1,130000,"[64,11,11,11,11,11,82,41,11,11,11,11]",2026-01-08,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, Things to know",informational,People also ask
sump pump basement repair,59,59,40,2,15.84,https://www.a1foundationcrackrepair.com/sump-pump,0,0,0.00,0.98,3430000,"[15,15,12,12,21,15,15,9,15,6,6,9]",2026-01-13,"Local pack, Video, Ads bottom, Video Carousel, People also ask, Related searches","commercial, informational",Organic
foundation waterproofing boston,11,11,110,50,20.60,https://www.a1foundationcrackrepair.com/,0,0,0.00,0.38,344000,"[15,12,23,12,23,9,12,9,19,12,15,9]",2026-02-26,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic
foundation waterproofing boston,77,77,110,50,20.60,https://www.a1foundationcrackrepair.com/,0,0,0.00,0.38,344000,"[15,12,23,12,23,9,12,9,19,12,15,9]",2026-02-26,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic
fix crack in foundation,67,67,170,13,11.85,https://www.a1foundationcrackrepair.com/,0,0,0.00,0.51,50600000,"[100,32,5,2,2,5,5,11,14,11,11,11]",2026-01-22,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
stop leaking basement,72,72,30,4,8.77,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/how-to-fix-leaking-basement-walls,0,0,0.00,0.83,5400000,"[20,0,80,80,100,100,80,100,40,20,0,40]",2026-02-08,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
