Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
conduit through wall,50,50,140,9,1.12,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,0,0,0.00,0.63,35800000,"[82,82,64,100,52,82,82,82,64,64,82,64]",2026-01-20,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
foundation crack repair flanders,30,30,50,4,0.00,https://crackx.com/new-hampshire/,0,0,0.00,0,93100,"[28,71,100]",2026-02-17,"Local pack, Video, People also ask, AI overview",commercial,Organic
concrete slab leak repair cost,76,76,210,1,10.91,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,0,0,0.00,0.66,3340000,"[1,10,10,7,100,0,0,36,67,44,10,12]",2026-01-20,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
foundation repair levittown,1,1,40,14,0.00,https://crackx.com/foundation-repair/,0,0,0.00,0,142,"[9,9,0,9,81,100,63,36,45,36]",2026-03-04,"Knowledge panel, Video, Image, People also ask, AI overview",informational,People also ask
repair all near me,31,31,30,19,2.24,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,0,0,0.00,0.21,2190000000,"[42,7,7,7,7,7,7,7,7,7,7,7]",2026-01-20,"Local pack, Sitelinks, Video, Image, People also ask, Related searches","navigational, transactional",Organic
foundation repair services usa 2025,1,1,40,3,0.00,https://crackx.com/foundation-repair/,0,0,0.00,0,105000000,"[0,71,71,57,100]",2026-02-17,"Local pack, Video, Image, People also ask, Related searches, AI overview",informational,People also ask
crack where ceiling meets wall,1,1,40,11,4.31,https://crackx.com/identifying-structural-cracks/,0,0,0.00,0.07,4990000,"[12,10,100,0,0,0,5,0,0,0,2,0]",2026-02-12,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,People also ask
crawl space repair,2,2,18100,28,18.16,https://crackx.com/7-warning-signs-your-crawl-space-needs-immediate-repair/,0,0,0.00,0.3,14100000,"[13,16,20,36,36,44,36,100,81,54,44,66]",2026-03-03,"Local pack, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches, Things to know, Discussions and forums",commercial,Things to know
foam for concrete slab,74,74,50,0,2.48,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,0,0,0.00,0.72,11100000,"[100,52,23,23,17,29,23,41,29,23,17,11]",2026-01-22,"Sitelinks, Video, Image, Video Carousel, Popular products, Related searches, AI overview",informational,Organic
heaving crack in basement floor,17,17,50,3,0.00,https://crackx.com/basement-floor-cracks/,0,0,0.00,0.21,128000,"[5,5,5,5,35,43,5,5,23,5,5,5]",2026-02-02,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
drywall wall clips,74,74,110,,0.30,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,0,0,0.00,1,104000000,"[100,100,78,78,64,50,78,78,100,50,100,64]",2026-01-20,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Short videos","informational, transactional",Organic
building with soil,30,30,140,8,0.71,https://crackx.com/soil-types-affect-building-foundations/,0,0,0.00,0.23,555000000,"[0,11,0,0,0,14,0,7,7,100,21,0]",2026-01-16,"Image pack, Video, Image, Video Carousel, People also ask, Related searches, Short videos, AI overview","informational, transactional",Organic
frost heave sign,86,86,70,3,0.00,https://crackx.com/frost-heave/,0,0,0.00,0.03,147,"[19,26,53,19,26,26,19,34,26,26,19,15]",2026-03-07,"Image pack, Video, Image, Video Carousel, Related searches, AI overview",informational,Organic
heaving in soil,35,35,140,15,0.00,https://crackx.com/frost-heave/,0,0,0.00,0,1920000,"[64,82,82,100,82,82,52,64,64,64,82,64]",2026-01-31,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
heaving in soil,95,95,140,15,0.00,https://crackx.com/a-comprehensive-guide-to-frost-heave-and-its-prevention/,0,0,0.00,0,1920000,"[64,82,82,100,82,82,52,64,64,64,82,64]",2026-01-31,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
cracks on the wall,47,47,70,20,5.06,https://crackx.com/how-to-know-if-a-crack-in-your-wall-is-serious/,0,0,0.00,0.15,87200000,"[7,16,0,0,0,0,0,10,0,0,0,0]",2026-02-27,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
home settling repair,85,85,90,2,12.60,https://crackx.com/settling-vs-foundation-failure-understanding-the-difference/,0,0,0.00,0.32,26900000,"[100,100,100,18,18,100,100,100,63,45,63,45]",2026-02-24,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
epoxy resin for concrete cracks,66,66,30,23,1.11,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,0,0,0.00,1,4240000,"[18,18,18,18,18,27,18,63,63,45,27,18]",2026-01-20,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
epoxy resin for concrete cracks,73,73,30,23,1.11,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,0,0,0.00,1,4240000,"[18,18,18,18,18,27,18,63,63,45,27,18]",2026-01-20,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
gutter overflowing into basement,94,94,90,2,0.00,https://crackx.com/how-clogged-downspouts-can-lead-to-basement-water-damage/,0,0,0.00,0,964000,"[5,41,64,100]",2026-01-09,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview","informational, transactional",Organic
professional foundation waterproofing near me,30,30,70,50,0.00,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,0,0,0.00,0,8850000,"[18,100,100,100,100,100,100,45,0,0]",2026-01-20,"Knowledge panel, Ads bottom, People also ask, Related searches, Ads middle, AI overview",transactional,Organic
professional foundation waterproofing near me,38,38,70,50,0.00,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,0,0,0.00,0,8850000,"[18,100,100,100,100,100,100,45,0,0]",2026-01-20,"Knowledge panel, Ads bottom, People also ask, Related searches, Ads middle, AI overview",transactional,Organic
foundation crack repair yaphank,26,26,50,1,0.00,https://crackx.com/maine/,0,0,0.00,0,24000,"[22,100,77,77,55,77,77]",2026-02-12,"Local pack, Video, People also ask, Related searches",commercial,Organic
foundation crack repair yaphank,51,51,50,1,0.00,https://crackx.com/merrimack-valley-massachusetts/,0,0,0.00,0,24000,"[22,100,77,77,55,77,77]",2026-02-12,"Local pack, Video, People also ask, Related searches",commercial,Organic
floor crack repair chelmsford nh,18,18,40,3,0.00,https://crackx.com/new-hampshire/,0,0,0.00,0,123000,"[57,57,28,71,100]",2026-02-28,"Local pack, Video, Related searches, AI overview",commercial,Organic
floor crack repair chelmsford nh,28,28,40,3,0.00,https://crackx.com/new-hampshire/,0,0,0.00,0,123000,"[57,57,28,71,100]",2026-02-28,"Local pack, Video, Related searches, AI overview",commercial,Organic
floor crack repair chelmsford nh,65,65,40,3,0.00,https://crackx.com/natick-massachusetts/,0,0,0.00,0,123000,"[57,57,28,71,100]",2026-02-28,"Local pack, Video, Related searches, AI overview",commercial,Organic
floor crack repair chelmsford nh,82,82,40,3,0.00,https://crackx.com/natick-massachusetts/,0,0,0.00,0,123000,"[57,57,28,71,100]",2026-02-28,"Local pack, Video, Related searches, AI overview",commercial,Organic
foundation repair grand junction co,2,2,90,25,19.90,https://crackx.com/foundation-repair/,0,0,0.00,0.79,1640000,"[33,80,100,52,33,33,33,33,23,33,33,23]",2026-03-04,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,People also ask
best waterproofing service providing company,1,1,50,40,0.00,https://crackx.com/the-common-basement-waterproofing-mistakes-you-dont-want-to-make/,0,0,0.00,0,135000000,"[100,81,81,81,63,27,45,9,0,0,0,0]",2026-03-01,"Local pack, Video, People also ask, Related searches, Discussions and forums, AI overview",commercial,People also ask
foundation wall crack repair,31,31,1000,9,10.55,https://crackx.com/maine/,0,0,0.00,0.41,14700000,"[7,16,16,31,46,100,84,100,100,46,20,16]",2026-02-07,"Knowledge panel, Video, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
foundation wall crack repair,87,87,1000,9,10.55,https://crackx.com/foundation-floor-crack-repair/,0,0,0.00,0.41,14700000,"[7,16,16,31,46,100,84,100,100,46,20,16]",2026-02-07,"Knowledge panel, Video, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
structural foam for concrete,62,62,70,5,1.88,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,0,0,0.00,1,13700000,"[18,63,36,45,63,63,36,100,100,100,100,63]",2026-01-21,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches, AI overview",commercial,Organic
foundation and crack repair,23,23,50,12,0.00,https://crackx.com/natick-massachusetts/,0,0,0.00,0,15800000,"[11,55,44,100,100,100,77,0,0]",2026-01-17,"Local pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums",commercial,Organic
foundation and crack repair,40,40,50,12,0.00,https://crackx.com/diy-vs-professional-foundation-crack-repair-what-homeowners-need-to-know/,0,0,0.00,0,15800000,"[11,55,44,100,100,100,77,0,0]",2026-01-17,"Local pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums",commercial,Organic
foundation and crack repair,75,75,50,12,0.00,https://crackx.com/connecticut/,0,0,0.00,0,15800000,"[11,55,44,100,100,100,77,0,0]",2026-01-17,"Local pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums",commercial,Organic
foundation and crack repair,76,76,50,12,0.00,https://crackx.com/connecticut/,0,0,0.00,0,15800000,"[11,55,44,100,100,100,77,0,0]",2026-01-17,"Local pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums",commercial,Organic
foundation crack repair miller place,31,31,90,,0.00,https://crackx.com/connecticut/,0,0,0.00,0,5770000,"[9,100,21,21,15,21,21]",2026-01-16,"Local pack, Video, People also ask, Related searches",commercial,Organic
foundation crack repair selden,44,44,70,2,0.00,https://crackx.com/natick-massachusetts/,0,0,0.00,0,78600,"[0,100,33,33,14,33,23]",2026-02-11,"Local pack, Video, People also ask, Related searches, AI overview",commercial,Organic
foundation crack repair selden,75,75,70,2,0.00,https://crackx.com/natick-massachusetts/,0,0,0.00,0,78600,"[0,100,33,33,14,33,23]",2026-02-11,"Local pack, Video, People also ask, Related searches, AI overview",commercial,Organic
how to fix a crack in basement floor,46,46,110,23,1.63,https://crackx.com/foundation-floor-crack-repair/,0,0,0.00,0.16,44300000,"[52,42,33,66,66,42,42,42,33,66,80,100]",2026-01-26,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
how to fix a crack in basement floor,83,83,110,23,1.63,https://crackx.com/repair-basement-floor-cracks/,0,0,0.00,0.16,44300000,"[52,42,33,66,66,42,42,42,33,66,80,100]",2026-01-26,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
how much does it cost to repair a water pump,60,60,140,23,2.19,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,0,0,0.00,0.13,246000000,"[100,29,29,29,29,14,29,29,14,22,35,8]",2026-01-22,"Sitelinks, Video, Featured snippet, Video Carousel, People also ask, Related searches",informational,Organic
what causes slab leaks,39,39,70,0,4.03,https://crackx.com/known-causes-of-slab-leaks/,0,0,0.00,0.39,2170000,"[27,63,45,36,36,63,81,63,81,81,100,45]",2026-03-04,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
what causes slab leaks,78,78,70,0,4.03,https://crackx.com/causes-of-slab-leaks/,0,0,0.00,0.39,2170000,"[27,63,45,36,36,63,81,63,81,81,100,45]",2026-03-04,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
fieldstone foundation repair cost,15,15,260,8,6.27,https://crackx.com/fieldstone-foundation-repair-special-merrimack-valley/,0,0,0.00,0.66,207000,"[5,5,5,7,7,11,100,7,88,59,7,7]",2026-01-11,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
x ring seals,98,98,30,4,1.38,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,0,0,0.00,0.79,41100000,"[40,40,80,100,80,80,40,40,60,20,60,20]",2026-01-20,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches",commercial,Organic
structural damage to house,78,78,70,18,7.49,https://crackx.com/signs-of-structural-damage-of-a-property/,0,0,0.00,0.5,0,"[42,23,42,52,52,23,52,42,9,23,42,33]",2026-03-07,"Sitelinks, Video, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
foundation repair pearland texas,5,5,70,3,27.62,https://crackx.com/foundation-repair/,0,0,0.00,0.9,312000,"[29,5,11,41,41,11,82,52,41,41,52,41]",2026-01-19,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,People also ask
water seepage in basement floor,42,42,40,10,8.97,https://crackx.com/water-seepage-through-basement/,0,0,0.00,0.67,590000,"[33,44,44,44,33,77,77,77,44,11,0,11]",2026-02-03,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
round crack,1,1,40,23,0.00,https://crackx.com/hairline-vs-structural-how-to-tell-what-type-of-foundation-floor-crack-you-have/,0,0,0.00,0.33,95800000,"[23,11,11,11,11,23,100,11,11,11,11,11]",2026-02-27,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,People also ask
can structural damage to a house be fixed,90,90,40,22,0.00,https://crackx.com/signs-of-structural-damage-of-a-property/,0,0,0.00,0,67200000,"[14,100,50,7,28,0]",2026-02-13,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
signs of water damage to foundation,26,26,50,8,6.23,https://crackx.com/building-foundation-water-damage/,0,0,0.00,0.39,180000000,"[4,6,6,4,4,22,22,22,4,4,4,4]",2026-01-20,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
signs of water damage to foundation,57,57,50,8,6.23,https://crackx.com/building-foundation-water-damage/,0,0,0.00,0.39,180000000,"[4,6,6,4,4,22,22,22,4,4,4,4]",2026-01-20,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
foundation crack repair saint james,1,1,90,3,0.00,https://crackx.com/hairline-vs-structural-how-to-tell-what-type-of-foundation-floor-crack-you-have/,0,0,0.00,0,3170000,"[26,100,26,26,19,26,19]",2026-03-02,"Local pack, Video, People also ask, AI overview",commercial,People also ask
waterproofing greenville sc,6,6,40,2,0.00,https://crackx.com/the-common-basement-waterproofing-mistakes-you-dont-want-to-make/,0,0,0.00,0.33,118000,"[9,9,9,9,9,9,4,23,23,52,33,23]",2026-02-17,"Local pack, Video, Image, People also ask, Related searches",commercial,People also ask
longhorns foundation solutions,6,6,110,29,5.10,https://crackx.com/foundation-repair/,0,0,0.00,0.23,183000,"[26,42,42,26,26,15,26,34,65,53,42,42]",2026-01-19,"Local pack, Sitelinks, Video, People also ask, Related searches",navigational,People also ask
the foundation pit,63,63,210,28,0.00,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,0,0,0.00,0.1,285000000,"[43,35,43,43,54,43,43,35,43,43,54,81]",2026-01-20,"Knowledge panel, Sitelinks, Video, Video Carousel, Related searches",informational,Organic
settling soil,85,85,70,13,0.00,https://crackx.com/what-is-foundation-settlement/,0,0,0.00,0.01,15100000,"[63,63,63,45,100,63,100,63,63,63,100,63]",2026-01-26,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
dry cleaning andover,33,33,50,8,1.95,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,0,0,0.00,0.19,1450000,"[63,45,45,27,63,63,63,63,0,63,63,0]",2026-01-20,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
orange pit,52,52,50,,0.00,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,0,0,0.00,0.33,285000000,"[11,11,11,100,64,11,11,11,11,64,11,11]",2026-01-20,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
arch foundation repair dallas,2,2,110,27,8.22,https://crackx.com/foundation-repair/,0,0,0.00,0.53,715000,"[50,100,78,64,100,78,78,50,78,64,100,50]",2026-02-26,"Knowledge panel, Video, People also ask, Related searches",navigational,People also ask
epoxy floor coating durability,59,59,40,,0.00,https://crackx.com/durability-of-epoxy-flooring/,0,0,0.00,0.39,6410000,"[36,63,36,18,36,18,100,18,18,18,18,18]",2026-01-08,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
epoxy floor coating durability,79,79,40,,0.00,https://crackx.com/epoxy-floor-coating/,0,0,0.00,0.39,6410000,"[36,63,36,18,36,18,100,18,18,18,18,18]",2026-01-08,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
foundation repair in columbia,8,8,90,6,20.84,https://crackx.com/foundation-repair/,0,0,0.00,0.64,11400000,"[52,52,64,23,52,41,82,41,52,64,82,64]",2026-02-26,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,People also ask
techelevator,51,51,140,43,5.27,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,0,0,0.00,0.4,80300000,"[14,14,14,14,14,14,8,54,43,54,43,43]",2026-01-20,"Knowledge panel, Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches",navigational,Organic
hairline crack in basement wall,1,1,170,10,5.86,https://crackx.com/hairline-vs-structural-how-to-tell-what-type-of-foundation-floor-crack-you-have/,0,0,0.00,0.56,768000,"[5,5,5,82,82,100,82,82,82,5,5,7]",2026-02-12,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,People also ask
hairline crack in basement wall,54,54,170,10,5.86,https://crackx.com/a-step-by-step-guide-to-repairing-hairline-cracks-in-foundation-wall/,0,0,0.00,0.56,768000,"[5,5,5,82,82,100,82,82,82,5,5,7]",2026-02-12,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic
challenging soil foundations,23,23,40,1,0.00,https://crackx.com/how-to-select-the-best-soil-for-your-foundation/,0,0,0.00,0,122000000,"[0,0,45,36,36,27,27,36,81,100,45,36]",2026-01-09,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
concrete floor patch repair,56,56,50,9,1.58,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,0,0,0.00,1,15900000,"[18,18,63,18,18,45,100,81,63,63,18,36]",2026-01-20,"Local pack, Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
concrete for basement floor repair,36,36,50,21,7.93,https://crackx.com/repair-basement-floor-cracks/,0,0,0.00,0.88,18900000,"[29,64,11,17,41,41,29,29,41,41,29,41]",2026-03-05,"Local pack, Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic
foundation repair akron ohio,1,1,70,6,20.79,https://crackx.com/a-comprehensive-guide-to-different-foundation-repair-methods/,0,0,0.00,0.56,491000,"[64,11,11,64,11,64,11,64,64,64,41,23]",2026-02-18,"Local pack, Video, Image, Ads bottom, People also ask, Related searches",commercial,People also ask
types of concrete foundation footings,82,82,140,20,2.07,https://crackx.com/types-of-commercial-building-foundations/,0,0,0.00,0.07,3240000,"[53,53,65,26,34,80,65,34,26,53,53,65]",2026-03-02,"Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
concrete pitting,38,38,2900,8,4.95,https://crackx.com/essential-tips-for-repairing-pits-in-your-floor/,0,0,0.00,0.07,0,"[4,5,8,13,10,13,13,10,100,100,100,100]",2026-03-02,"Image pack, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
concrete pitting,71,71,2900,8,4.95,https://crackx.com/a-guide-to-repairing-concrete-floor-pits-and-cracks/,0,0,0.00,0.07,0,"[4,5,8,13,10,13,13,10,100,100,100,100]",2026-03-02,"Image pack, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
concrete pitting,76,76,2900,8,4.95,https://crackx.com/a-guide-to-repairing-concrete-floor-pits-and-cracks/,0,0,0.00,0.07,0,"[4,5,8,13,10,13,13,10,100,100,100,100]",2026-03-02,"Image pack, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
foundation crack repair coram,37,37,70,7,0.00,https://crackx.com/connecticut/,0,0,0.00,0,42500,"[0,100,64,64,21,50,50]",2026-02-02,"Local pack, People also ask, Related searches, AI overview",commercial,Organic
foundation crack repair coram,51,51,70,7,0.00,https://crackx.com/connecticut/,0,0,0.00,0,42500,"[0,100,64,64,21,50,50]",2026-02-02,"Local pack, People also ask, Related searches, AI overview",commercial,Organic
foundation repair malden,9,9,50,6,0.00,https://crackx.com/foundation-crack-repair-in-malden/,0,0,0.00,0,386000,"[80,100,100]",2026-01-24,"Local pack, Video, Image, People also ask, Related searches",commercial,Organic
foundation repair malden,98,98,50,6,0.00,https://crackx.com/natick-massachusetts/,0,0,0.00,0,386000,"[80,100,100]",2026-01-24,"Local pack, Video, Image, People also ask, Related searches",commercial,Organic
cracks in concrete floors,17,17,110,24,3.48,https://crackx.com/5-reasons-why-your-concrete-floor-is-cracking/,0,0,0.00,0.45,23600000,"[0,22,2,0,0,4,10,29,35,100,35,29]",2026-01-26,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
st louis foundation repairs,6,6,40,28,28.86,https://crackx.com/foundation-repair/,0,0,0.00,0.79,3930000,"[41,23,23,11,5,5,11,100,23,23,23,23]",2026-02-27,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,People also ask
priority foundation repair,3,3,40,,13.72,https://crackx.com/foundation-repair/,0,0,0.00,0.34,48300000,"[18,18,18,18,18,18,18,18,18,18,100,100]",2026-02-22,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,People also ask
foundation crack repair valley stream,20,20,110,0,0.00,https://crackx.com/services/,0,0,0.00,0,5580000,"[100,21,15,12,21]",2026-01-13,"Video, People also ask, Related searches, AI overview",commercial,Organic
foundation crack repair valley stream,49,49,110,0,0.00,https://crackx.com/atkinson-new-hampshire/,0,0,0.00,0,5580000,"[100,21,15,12,21]",2026-01-13,"Video, People also ask, Related searches, AI overview",commercial,Organic
foundation crack repair valley stream,95,95,110,0,0.00,https://crackx.com/manchester-new-hampshire/,0,0,0.00,0,5580000,"[100,21,15,12,21]",2026-01-13,"Video, People also ask, Related searches, AI overview",commercial,Organic
replace sump pump,86,86,880,30,11.37,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,0,0,0.00,0.48,15800000,"[16,10,13,16,20,20,20,29,29,20,13,13]",2026-01-23,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
heave of soil,15,51,90,9,0.00,https://crackx.com/frost-heave/,0,0,0.00,0.01,147,"[52,52,23,52,82,41,29,41,41,82,52,52]",2026-03-08,"Image pack, Video, Video Carousel, Related searches, AI overview",informational,Organic
why is my epoxy not drying,77,77,40,3,0.10,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,0,0,0.00,0.16,31900000,"[100,22,44,44,44,55,22,55,22,22,22,22]",2026-01-22,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
cost to finish a basement,45,45,2400,28,3.29,https://crackx.com/cost-of-finishing-a-basement-the-truth/,0,0,0.00,0.44,33700000,"[35,53,53,44,35,35,44,44,66,35,35,35]",2026-03-04,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
the pit photos,55,55,90,,0.00,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,0,0,0.00,0,423000000,"[14,14,14,14,78,78,78,78,78,64,100,100]",2026-01-20,"Image pack, Video, Image, Related searches",informational,Organic
residential foundation repair,1,1,2400,37,24.61,https://crackx.com/foundation-repair/,0,0,0.00,0.35,150,"[13,13,16,13,19,10,19,44,100,24,10,10]",2026-03-05,"Local pack, Video, People also ask, Related searches",commercial,People also ask
epoxy peeling,18,18,70,0,0.00,https://crackx.com/common-causes-of-epoxy-floor-peeling-and-proven-ways-to-prevent-it/,0,0,0.00,0.02,10900000,"[18,18,18,18,18,100,100,100,100,18,100,18]",2026-02-28,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
epoxy peeling,19,19,70,0,0.00,https://crackx.com/common-causes-of-epoxy-floor-peeling-and-proven-ways-to-prevent-it/,0,0,0.00,0.02,10900000,"[18,18,18,18,18,100,100,100,100,18,100,18]",2026-02-28,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
epoxy peeling,35,35,70,0,0.00,https://crackx.com/common-causes-of-epoxy-floor-peeling-and-proven-ways-to-prevent-it/,0,0,0.00,0.02,10900000,"[18,18,18,18,18,100,100,100,100,18,100,18]",2026-02-28,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
epoxy peeling,40,40,70,0,0.00,https://crackx.com/common-causes-of-epoxy-floor-peeling-and-proven-ways-to-prevent-it/,0,0,0.00,0.02,10900000,"[18,18,18,18,18,100,100,100,100,18,100,18]",2026-02-28,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
cracks in foundation,3,3,3600,17,6.62,https://crackx.com/what-happens-if-you-dont-repair-basement-wall-cracks-right-away/,0,0,0.00,0.41,59600000,"[12,12,12,12,12,12,10,16,81,100,100,100]",2026-03-05,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Things to know, Discussions and forums, AI overview",informational,Things to know
cracks in foundation,3,3,3600,17,6.62,https://crackx.com/the-dangers-of-ignoring-foundation-cracks-when-to-take-action/,0,0,0.00,0.41,59600000,"[12,12,12,12,12,12,10,16,81,100,100,100]",2026-03-05,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Things to know, Discussions and forums, AI overview",informational,Things to know
cracks in basement floor when to worry,1,1,140,4,2.65,https://crackx.com/hairline-vs-structural-how-to-tell-what-type-of-foundation-floor-crack-you-have/,0,0,0.00,0.05,12000000,"[0,1,0,0,0,0,4,5,5,7,16,16]",2026-02-25,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
cracks in basement floor when to worry,1,1,140,4,2.65,https://crackx.com/signs-of-structural-damage-of-a-property/,0,0,0.00,0.05,12000000,"[0,1,0,0,0,0,4,5,5,7,16,16]",2026-02-25,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
cracks in basement floor when to worry,16,16,140,4,2.65,https://crackx.com/basement-floor-cracks/,0,0,0.00,0.05,12000000,"[0,1,0,0,0,0,4,5,5,7,16,16]",2026-02-25,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
